Frequency,Words
16855,en
12542,de
10381,van
8410,te
8079,in
7465,het
6970,je
6227,een
5959,op
4910,-
4834,is
4813,niet
4569,met
4478,voor
4034,meer
3873,zijn
3790,dat
3252,om
3188,wat
2702,aan
2676,of
2513,ook
2500,als
2318,bij
2293,die
2235,eigen
2183,naar
2076,kan
1979,goed
1936,ik
1774,to
1742,over
1685,maar
1658,blijven
1620,and
1514,hij
1498,laten
1496,the
1474,er
1409,dit
1371,anderen
1346,zaken
1315,iets
1296,door
1277,soms
1276,minder
1252,Je
1230,Meer
1193,Het
1183,veel
1150,dan
1145,haar
1140,geen
1126,nog
1100,ze
1079,zich,kunnen
1041,nemen
1036,wel
1032,moet
1030,werk
964,zou
948,collega's
944,Ik
935,geven
934,heeft
926,mensen
886,altijd
875,andere
868,uit
861,zelf
849,/
847,tot
843,mee
803,zijn.
787,waar
785,De
780,mening,kennis
770,gaan
764,maken
763,team
757,goede
746,snel
742,worden
740,binnen
736,open
708,tijd
707,gedrag,mag
706,ander
683,klant
663,deze
662,vragen
657,a
643,vaker
636,zien,beter
629,vaak
616,werken
614,tonen
604,initiatief
601,zo
596,doen
591,more
586,nieuwe
583,Dit
578,bent,manier
576,wordt
571,al
564,is.
560,dingen
554,erg,houding
540,Niet
535,daar
521,toe
519,heel
518,organisatie
511,heb
500,mijn
496,willen
490,zeer
489,weet
475,on
473,duidelijk,komt
472,hebben
467,stellen
466,for
464,houden
461,medewerkers
460,komen
458,with
457,mij
449,laat,moeten
443,gaat
442,vanuit
441,af,Geen
438,Hij
433,Soms
432,jezelf
431,hier,In
428,Minder
426,hoe
419,enthousiasme
417,doelen
416,hebt
411,vooral
410,problemen
409,zonder
407,denken
398,feedback
391,wanneer
390,Te
384,delen
383,zichzelf
381,eens
380,direct
379,oplossingen,"zijn,"
376,werkzaamheden
372,not,klanten
371,nu
369,be
368,ideeen
367,worden.
361,staan,doen.,alleen
356,.
353,nvt
352,afspraken
351,communiceren
350,wil
349,rol
347,waardoor
345,nodig
342,aandacht
339,bepaalde
335,alles
328,projecten
322,Open
321,informatie
319,Met
314,hun,hem
313,zoeken
310,samen
309,verder,you
308,anderen.
307,*,communicatie
306,that
304,komen.,positieve
303,luisteren
301,resultaat,taken,zij
300,your
299,samenwerking,collega
293,project
292,richting,buiten,echt
291,tussen
290,werken.
288,ben
287,dus,Als
286,tijdens
284,even
283,staat
282,betrokkenheid,Dat
280,nemen.
279,teveel
276,Ze,doet
275,gevoel
273,contact,persoonlijke
271,kritisch
269,vraag,kwaliteit
266,denk
261,ruimte
260,Probeer
257,zien.
256,zodat,Blijf
255,reageren,bezig
253,vertrouwen,alle
251,Op,I
250,Wat,afdeling
248,actief
247,werkt
246,zeker
245,ideen,Iets
244,"nemen,"
243,zeggen
241,planning,we
239,wijze,brengen
238,vind
237,grote
236,resultaten,argumenten,collega's.,are
233,Een
232,verschillende,Initiatief
231,people
230,?,his
229,geeft
228,idee
227,kunt
226,discussie
224,Ook
223,deelnemer
222,omdat
220,zowel
218,helpen,prettige
217,belang
216,ontwikkeling,positief
215,jouw
214,visie,zoals
213,termijn,prettig
211,maken.,proberen,inhoudelijke
210,sterk,rust,weinig,focus,doorgaan
209,ontwikkelen,ten,situaties
207,oog
206,iedereen,verantwoordelijkheid,betrokken
205,plannen
204,iemand
203,best,gaan.,Zijn
201,jij
200,groep,terwijl
199,Laat,helder,zal
198,Kan
197,gesprek,geven.
196,kijken
195,inhoud,juiste
193,mogelijk
192,weg,work
191,lang,persoon,oplossing,Is,interesse,inzet
190,team.
189,gesprekken,me,na
188,Enthousiasme,he,krijgen
187,misschien,zie
186,aangeven,"werken,"
185,moment,voorstellen,aanpak,daarbij,doel,welke
184,anders
183,maakt
182,daardoor,probleem
180,situatie
179,graag,meedenken,toch
178,ontwikkelingen,gericht
177,belangen,oppakken
176,organisatie.,it,eerder,Door
175,werk.,onder
174,druk
173,Eigen,enthousiast
172,Nog,as
171,jou
170,niets,persoonlijk
169,or,tegen,acties
168,when
167,handelen,Goed,lange,leggen,kant
166,ervaring
165,mogen,basis
164,elkaar,gedrag.
163,sommige,belangrijk
162,initiatieven,business,Zich
161,leren,durven,sneller
160,juist,duidelijke,omgeving
159,lijkt,&,opmerkingen
158,energie
157,und
155,bescheiden,drive,voorgrond
154,gebruik,should,sterke
153,medewerkers.,houden.
152,blijf,overleg,structuur,discussies
151,klant.,weten,Vaker,kritische,rekening
150,duidelijker,"is,",achter,En
149,zetten,standpunt
148,opstellen,samenwerken,Bij
147,beslissingen
146,hebben.,inhoudelijk
145,relatie,delegeren
144,makkelijk,overzicht
143,uitstralen,ander.
142,an,zit
141,benadering,voren,activiteiten
140,eerst,others
139,have,proces,ipv,daarmee,ter
138,Er
137,mogelijkheden
136,wordt.,antwoord,leveren
135,sociale,directe,tonen.,denkt
134,hard,leiding
133,can
132,"doen,",blijft,doelstellingen,other
131,stellen.,"tonen,",Daarnaast,gebruiken,bijvoorbeeld
130,up,betrekken,management,pro-actief
129,gewoon,"anderen,",volgens,time,kort
128,hoge,grenzen,too
127,good
126,heeft.
125,realiseren,prioriteiten,by,ergens,sociaal
124,moeilijk,Goede,kracht,vasthouden
123,omgang,(en,about,blijven.,Deelnemer,waarop
122,weer,keuzes,this,eigenlijk
121,new,wie,pas
120,gedrevenheid,onzeker
119,huidige,issues,zichtbaar
118,gesprekspartner,"enthousiasme,",en/of,humor,think,",",over.,contacten
